Species,FlowerID,Trait
Pimpinella chungdienensis,F00806,I
Pimpinella cnidioides,F00807,I
Pimpinella coriacea,F00808,I
Pimpinella diversifolia,F00809,I
Pimpinella fargesii,F00810,I
Pimpinella filipedicellata,F00811,I
Pimpinella flaccida,F00812,I
Pimpinella grisea,F00813,I
Pimpinella helosciadoidea,F00814,I
Pimpinella henryi,F00815,I
Pimpinella kingdon-wardii,F00816,I
Pimpinella liana,F00817,I
Pimpinella niitakayamensis,F00818,I
Pimpinella nyingchiensis,F00819,I
Pimpinella pimpinellisimulacrum,F00820,I
Pimpinella puberula,F00821,I
Pimpinella purpurea,F00822,I
Pimpinella refracta,F00823,I
Pimpinella renifolia,F00824,I
Pimpinella rhomboidea,F00825,I
Pimpinella rockii,F00826,I
Pimpinella rubescens,F00827,I
Pimpinella silvatica,F00828,I
Pimpinella smithii,F00829,I
Pimpinella thellungiana,F00830,I
Pimpinella tibetanica,F00831,I
Pimpinella tonkinensis,F00832,I
Pimpinella triternata,F00833,I
Pimpinella valleculosa,F00834,I
